cep,urdu_input,english_output
1,بھائی سین کیا ہے,"Bro, what's the situation / what's going on?"
2,لائٹ لو یار۔,"Chill out, man. / Relax, buddy."
3,یہ سین بڑا جھند ہے,This situation/scene is a total mess.
4,یار دماغ مت کھاؤ۔,"Stop giving me a headache, dude."
5,آج فل چِل کا موڈ ہے۔,I'm totally in the mood to just chill out today.
6,بھائی یہ آئیڈیا فل سیٹ ہے,"Bro, this idea is absolutely perfect."
7,یار جیب بالکل خالی ہو گئی ہے,"Man, I'm completely broke right now."
8,یہ بندہ بڑا برگر ہے,This guy is a total snob / stuck-up.
9,آج تو بڑا لفرہ ہو گیا,Today turned into a real drama / things got really chaotic today.
10,چل پتلی گلی سے نکلتے ہیں,Let's sneak out through the back way to avoid trouble.
11,یار ٹریفک نے جان نکال دی,"Dude, the traffic absolutely drained the life out of me."
12,بائیک پر جانا زیادہ آسان ہے,Going by bike is much easier.
13,بھائی بریانی کھانے کا موڈ ہے,"Bro, I'm really in the mood for biryani."
14,یہ کام جُگاڑ سے ہو جائے گا,This job will get done somehow — we'll figure it out.
15,چل پھر میں چلتا ہوں,"Alright then, I'm heading out."
16,ابے جلدی کر، دیر ہو رہی ہے,"Come on, hurry up — we're getting late."
17,یار آج اتنی گرمی ہے کہ باہر نکلنے کا دل ہی نہیں کر رہا,"Dude, it's so hot today I have absolutely no desire to step outside."
18,بھائی اگر ابھی نکلے نہ تو ٹریفک میں بری طرح پھنس جائیں گے,"Bro, if we don't leave right now, we'll get badly stuck in traffic."
19,چل یار کہیں بیٹھ کے آرام سے چائے پیتے ہیں اور بات کرتے ہیں,"Come on, let's find a spot to sit and have tea and a proper chat."
20,کل جب بارش شروع ہوئی تو پورے علاقے کی بجلی چلی گئی، اور سڑکوں پر اتنا پانی بھر گیا کہ گاڑیاں بھی رک گئیں اور لوگ پیدل چلنے پر مجبور ہو گئے۔,"Yesterday when the rain started, the entire neighborhood lost electricity, the roads flooded so badly that cars stopped moving and people had no choice but to walk."
21,کراچی کی بریانی اس لیے مشہور ہے کہ اس میں مصالحے کا خاص توازن ہوتا ہے، اور لوگ دور دور سے صرف اس کا ذائقہ چکھنے کے لیے آتے ہیں۔,Karachi biryani is famous because the spices are perfectly balanced — people travel from far just to taste it.
22,جب میں دوستوں کے ساتھ کلفٹن گیا تو سمندر کی ہوا نے سارا دن خوشگوار بنا دیا، اور شام کو چائے کے ساتھ پکوڑوں نے مزید مزہ بڑھا دیا۔,"When I went to Clifton with friends, the sea breeze made the whole day wonderful, and in the evening the pakoras with tea made it even better."
